Date,Time,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
2/5/2019,17:30:03,803,566,4.01,23.43,78954,55.78,-0.632778868,7.60633E-06,0.3348,,,,,,,,,,,
2/5/2019,17:30:03,1303,774,5.28,23.43,78955,55.76,-0.486987866,1.45397E-05,0.6399,,,,,,,,,,,
2/5/2019,17:30:04,1799,810,6.25,23.44,78945,55.73,-0.375635683,1.57397E-05,0.6927,,,,,,,,,,,
2/5/2019,17:30:04,2300,812,7.08,23.43,78927,55.7,-0.280354949,1.58063E-05,0.6956,,,,,,,,,,,
2/5/2019,17:30:05,2802,823,7.92,23.44,78925,55.65,-0.183926255,0.000016173,0.7118,,,,,,,,,,,
2/5/2019,17:30:05,3304,830,8.66,23.44,78924,55.59,-0.098977167,1.64063E-05,0.7220,,,,,,,,,,,
2/5/2019,17:30:06,3779,846,9,23.44,78926,55.56,-0.059946505,1.69397E-05,0.7455,,,,,,,,,,,
2/5/2019,17:30:06,4281,848,9.74,23.43,78926,55.48,0.025002583,1.70063E-05,0.7484,0.0487,0.001107674,3.46054E-05,34.60538818,,,,,,,
2/5/2019,17:30:07,4783,846,9.99,23.43,78928,55.39,0.053701599,1.69397E-05,0.7455,0.0458,0.001041007,3.25218E-05,32.52179784,,,,,,,
2/5/2019,17:30:07,5284,840,10.13,23.44,78926,55.34,0.069773048,1.67397E-05,0.7367,0.0370,0.000841007,2.62752E-05,26.27520915,,,,,,,
2/5/2019,17:30:08,5786,845,10.92,23.44,78926,55.26,0.160461939,1.69063E-05,0.7440,0.0443,0.001007674,3.14823E-05,31.4823003,,,,,,,
2/5/2019,17:30:08,6288,831,11.03,23.44,78928,55.2,0.173089506,1.64397E-05,0.7235,0.0238,0.000541007,1.6902E-05,16.90201676,,,,,,,
2/5/2019,17:30:09,6790,834,11.39,23.43,78928,55.1,0.21441609,1.65397E-05,0.7279,0.0282,0.000641007,2.00255E-05,20.02551707,,,,,,,
2/5/2019,17:30:09,7291,819,11.9,23.44,78923,55.01,0.272962083,1.60397E-05,0.7059,0.0062,0.000141007,4.40559E-06,4.405593744,,,,,,,
2/5/2019,17:30:10,7793,817,11.98,23.44,78929,54.95,0.282145768,0.000015973,0.7030,0.0033,7.43406E-05,2.3225E-06,2.322501544,,,,,,,
2/5/2019,17:30:10,8295,825,12.09,23.44,78930,54.87,0.294773335,1.62397E-05,0.7147,0.0150,0.000341007,1.06534E-05,10.65339576,,,,,,,
2/5/2019,17:30:11,8797,814,12.39,23.43,78923,54.76,0.329212155,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01668E-07,-0.801668314,,,,,,,
2/5/2019,17:30:11,9298,822,12.92,23.43,78928,54.68,0.390054069,1.61397E-05,0.7103,0.0106,0.000241007,7.52924E-06,7.529236313,,,,,,,
2/5/2019,17:30:12,9800,818,13.48,23.43,78921,54.6,0.454339865,1.60063E-05,0.7044,0.0047,0.000107674,3.36411E-06,3.364107749,,,,,,,
2/5/2019,17:30:12,10302,813,13.91,23.44,78923,54.52,0.503702173,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84315E-06,-1.843153162,,,,,,,
2/5/2019,17:30:13,10804,822,13.94,23.46,78929,54.43,0.507146055,1.61397E-05,0.7103,0.0106,0.000241007,7.5299E-06,7.529902516,,,,,,,
2/5/2019,17:30:13,11276,816,13.98,23.46,78927,54.4,0.511737898,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28124E-06,1.281241752,,,,,,,
2/5/2019,17:30:14,11777,822,14,23.44,78923,54.32,0.514033819,1.61397E-05,0.7103,0.0106,0.000241007,7.52997E-06,7.529967196,,,,,,,
2/5/2019,17:30:14,12276,814,13.96,23.44,78926,54.23,0.509441976,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01665E-07,-0.801664871,,,,,,,
2/5/2019,17:30:15,12776,818,13.97,23.44,78928,54.18,0.510589937,1.60063E-05,0.7044,0.0047,0.000107674,3.36392E-06,3.363922812,,,,,,,
2/5/2019,17:30:15,13277,822,13.95,23.44,78925,54.13,0.508294016,1.61397E-05,0.7103,0.0106,0.000241007,7.52978E-06,7.529776383,,,,,,,
2/5/2019,17:30:16,13776,822,13.99,23.44,78921,54.07,0.512885858,1.61397E-05,0.7103,0.0106,0.000241007,7.53016E-06,7.530158019,,,,,,,
2/5/2019,17:30:16,14279,815,13.99,23.44,78925,54.02,0.512885858,1.59063E-05,0.7000,0.0003,7.67394E-06,2.39756E-07,0.239756398,,,,,,,
2/5/2019,17:30:17,14776,814,13.99,23.46,78923,53.96,0.512885858,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.01749E-07,-0.801749405,,,,,,,
2/5/2019,17:30:17,15277,815,13.99,23.44,78923,53.94,0.512885858,1.59063E-05,0.7000,0.0003,7.67394E-06,2.39762E-07,0.239762474,,,,,,,
2/5/2019,17:30:18,15776,808,13.99,23.43,78918,53.88,0.512885858,0.000015673,0.6898,-0.0099,-0.000225659,-7.05065E-06,-7.050651212,,,,,,,
2/5/2019,17:30:18,16276,818,13.99,23.44,78910,53.85,0.512885858,1.60063E-05,0.7044,0.0047,0.000107674,3.36469E-06,3.36469015,,,,,,,
2/5/2019,17:30:19,16777,816,14,23.43,78913,53.82,0.514033819,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28134E-06,1.281339446,,,,,,,
2/5/2019,17:30:19,17277,824,14,23.44,78917,53.82,0.514033819,1.62063E-05,0.7132,0.0135,0.000307674,9.61361E-06,9.613613692,,,,,,,
2/5/2019,17:30:20,17779,813,13.98,23.44,78915,53.8,0.511737898,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84334E-06,-1.843340011,,,,,,,
2/5/2019,17:30:20,18281,826,13.98,23.45,78916,53.77,0.511737898,0.000016273,0.7162,0.0165,0.000374341,1.16972E-05,11.69723028,,,,,,,
2/5/2019,17:30:21,18783,826,13.98,23.45,78915,53.74,0.511737898,0.000016273,0.7162,0.0165,0.000374341,1.16974E-05,11.69737851,,,,,,,
2/5/2019,17:30:21,19284,817,13.98,23.44,78910,53.72,0.511737898,0.000015973,0.7030,0.0033,7.43406E-05,2.32306E-06,2.323060757,,,,,,,
2/5/2019,17:30:22,19786,820,14,23.45,78918,53.72,0.514033819,0.000016073,0.7074,0.0077,0.000174341,5.44758E-06,5.447580337,,,,,,,
2/5/2019,17:30:22,20288,822,14,23.44,78912,53.68,0.514033819,1.61397E-05,0.7103,0.0106,0.000241007,7.53102E-06,7.531016842,,,,,,,
