Date,Time,Time_corr,-6,,Time_,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X2,d,d2,D,sy,sm,sb,,,,
1/29/2019 18:29,6:29:31 PM,43494.77,6:00:00 AM,0.25,12:29:31 PM,786,556,5.61,22.63,77193,59.4,-0.449105165,0.000007273,0.32008473,,,,,,,,,,,,,,,
1/29/2019 18:29,6:29:32 PM,43494.77,6:00:00 AM,0.25,12:29:32 PM,1288,769,7.07,22.63,77193,59.37,-0.28150291,0.000014373,0.63255573,,,,,,,,,,,,,,,
1/29/2019 18:29,6:29:32 PM,43494.77,6:00:00 AM,0.25,12:29:32 PM,1762,803,8.81,22.63,77193,59.28,-0.081757757,1.55063E-05,0.68243373,,,,,,,,,,,,,,,
1/29/2019 18:29,6:29:33 PM,43494.77,6:00:00 AM,0.25,12:29:33 PM,2264,797,10.01,22.62,77201,59.15,0.05599752,1.53063E-05,0.67363173,-0.01926827,-0.000437816,-1.39455E-05,-13.9454512,,,,,,,,,,,
1/29/2019 18:29,6:29:33 PM,43494.77,6:00:00 AM,0.25,12:29:33 PM,2765,808,11.42,22.64,77196,58.96,0.217859972,0.000015673,0.68976873,-0.00313127,-7.11491E-05,-2.26656E-06,-2.266563333,,,,,,,,,,,
1/29/2019 18:29,6:29:34 PM,43494.77,6:00:00 AM,0.25,12:29:34 PM,3267,805,12.5,22.64,77198,58.8,0.341839722,0.000015573,0.68536773,-0.00753227,-0.000171149,-5.45208E-06,-5.452076855,,,,,,,,,,,
1/29/2019 18:29,6:29:34 PM,43494.77,6:00:00 AM,0.25,12:29:34 PM,3772,809,13.52,22.63,77200,58.52,0.458931708,1.57063E-05,0.69123573,-0.00166427,-3.78157E-05,-1.20458E-06,-1.204575264,,,,,,,,,,,
1/29/2019 18:29,6:29:35 PM,43494.77,6:00:00 AM,0.25,12:29:35 PM,4271,807,14.19,22.63,77205,58.3,0.535845071,1.56397E-05,0.68830173,-0.00459827,-0.000104482,-3.32795E-06,-3.327947737,,,,,,,,,,,
1/29/2019 18:29,6:29:35 PM,43494.77,6:00:00 AM,0.25,12:29:35 PM,4772,813,15.01,22.62,77207,58.03,0.629977844,1.58397E-05,0.69710373,0.00420373,9.55176E-05,3.04222E-06,3.042222048,,,,,,,,,,,
1/29/2019 18:29,6:29:36 PM,43494.77,6:00:00 AM,0.25,12:29:36 PM,5274,802,15.63,22.63,77212,57.75,0.701151405,0.000015473,0.68096673,-0.01193327,-0.000271149,-8.63579E-06,-8.635790961,,,,,,,,,,,
1/29/2019 18:29,6:29:36 PM,43494.77,6:00:00 AM,0.25,12:29:36 PM,5776,807,15.98,22.64,77208,57.51,0.741330027,1.56397E-05,0.68830173,-0.00459827,-0.000104482,-3.32793E-06,-3.327930936,,,,,,,,,,,
1/29/2019 18:29,6:29:37 PM,43494.77,6:00:00 AM,0.25,12:29:37 PM,6278,806,16.51,22.63,77212,57.23,0.802171942,1.56063E-05,0.68683473,-0.00606527,-0.000137816,-4.38928E-06,-4.389275014,,,,,,,,,,,
