Date,Time,Time_corr,-6,,Time_,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X2,d,d2,D,sy,sm,sb
1/29/2019 20:11,8:11:58 PM,43494.84,6:00:00 AM,0.25,2:11:58 PM,796,537,4.08,22.86,77085,56.48,-0.624743144,6.63967E-06,0.29221173,,,,,,,,,,,
1/29/2019 20:12,8:12:20 PM,43494.84,6:00:00 AM,0.25,2:12:20 PM,796,528,4.91,22.86,77085,56.12,-0.52946241,6.33967E-06,0.27900873,,,,,,,,,,,
1/29/2019 20:12,8:12:20 PM,43494.84,6:00:00 AM,0.25,2:12:20 PM,1292,761,6.27,22.88,77087,56.07,-0.373339762,1.41063E-05,0.62081973,,,,,,,,,,,
1/29/2019 20:12,8:12:21 PM,43494.84,6:00:00 AM,0.25,2:12:21 PM,1794,781,7.69,22.88,77079,56.03,-0.21032935,0.000014773,0.65015973,,,,,,,,,,,
1/29/2019 20:12,8:12:21 PM,43494.84,6:00:00 AM,0.25,2:12:21 PM,2269,803,8.92,22.88,77076,55.93,-0.06913019,1.55063E-05,0.68243373,,,,,,,,,,,
1/29/2019 20:12,8:12:22 PM,43494.84,6:00:00 AM,0.25,2:12:22 PM,2770,796,9.96,22.89,77088,55.81,0.050257717,0.000015273,0.67216473,-0.01323527,-0.000300733,-9.60185E-06,-9.601853472,,,,,,,
1/29/2019 20:12,8:12:22 PM,43494.84,6:00:00 AM,0.25,2:12:22 PM,3272,794,10.85,22.89,77087,55.68,0.152426215,1.52063E-05,0.66923073,-0.01616927,-0.0003674,-1.17305E-05,-11.7305484,,,,,,,
1/29/2019 20:12,8:12:23 PM,43494.84,6:00:00 AM,0.25,2:12:23 PM,3774,803,11.52,22.89,77090,55.54,0.229339578,1.55063E-05,0.68243373,-0.00296627,-6.73999E-05,-2.1519E-06,-2.151897995,,,,,,,
1/29/2019 20:12,8:12:23 PM,43494.84,6:00:00 AM,0.25,2:12:23 PM,4276,806,12.01,22.89,77090,55.43,0.28558965,1.56063E-05,0.68683473,0.00143473,3.26001E-05,1.04083E-06,1.040833306,,,,,,,
1/29/2019 20:12,8:12:24 PM,43494.84,6:00:00 AM,0.25,2:12:24 PM,4777,797,12.89,22.89,77090,55.26,0.386610187,1.53063E-05,0.67363173,-0.01176827,-0.0002674,-8.53736E-06,-8.537360597,,,,,,,
1/29/2019 20:12,8:12:24 PM,43494.84,6:00:00 AM,0.25,2:12:24 PM,5279,808,13.07,22.88,77093,55.16,0.407273479,0.000015673,0.68976873,0.00436873,9.92668E-05,3.16909E-06,3.169090456,,,,,,,
1/29/2019 20:12,8:12:25 PM,43494.84,6:00:00 AM,0.25,2:12:25 PM,5784,801,13.72,22.89,77098,54.99,0.481890921,1.54397E-05,0.67949973,-0.00590027,-0.000134067,-4.27994E-06,-4.279941379,,,,,,,
1/29/2019 20:12,8:12:25 PM,43494.84,6:00:00 AM,0.25,2:12:25 PM,6283,796,13.98,22.88,77094,54.85,0.511737898,0.000015273,0.67216473,-0.01323527,-0.000300733,-9.60078E-06,-9.60078187,,,,,,,
1/29/2019 20:12,8:12:26 PM,43494.84,6:00:00 AM,0.25,2:12:26 PM,6785,804,14.06,22.88,77101,54.71,0.520921583,1.55397E-05,0.68390073,-0.00149927,-3.40666E-05,-1.08746E-06,-1.087462318,,,,,,,
1/29/2019 20:12,8:12:26 PM,43494.84,6:00:00 AM,0.25,2:12:26 PM,7286,801,14.48,22.89,77099,54.58,0.56913593,1.54397E-05,0.67949973,-0.00590027,-0.000134067,-4.27989E-06,-4.279885867,,,,,,,
1/29/2019 20:12,8:12:27 PM,43494.84,6:00:00 AM,0.25,2:12:27 PM,7788,806,14.85,22.89,77099,54.46,0.611610474,1.56063E-05,0.68683473,0.00143473,3.26001E-05,1.04071E-06,1.040711806,,,,,,,
1/29/2019 20:12,8:12:27 PM,43494.84,6:00:00 AM,0.25,2:12:27 PM,8290,796,14.97,22.89,77102,54.33,0.625386002,0.000015273,0.67216473,-0.01323527,-0.000300733,-9.60011E-06,-9.60010999,,,,,,,
1/29/2019 20:12,8:12:28 PM,43494.84,6:00:00 AM,0.25,2:12:28 PM,8792,798,15.02,22.9,77104,54.25,0.631125805,1.53397E-05,0.67509873,-0.01030127,-0.000234067,-7.47201E-06,-7.472012305,,,,,,,
1/29/2019 20:12,8:12:28 PM,43494.84,6:00:00 AM,0.25,2:12:28 PM,9293,800,15.02,22.89,77104,54.13,0.631125805,1.54063E-05,0.67803273,-0.00736727,-0.0001674,-5.34366E-06,-5.343658856,,,,,,,
1/29/2019 20:12,8:12:29 PM,43494.84,6:00:00 AM,0.25,2:12:29 PM,9795,804,15.1,22.89,77099,54.05,0.64030949,1.55397E-05,0.68390073,-0.00149927,-3.40666E-05,-1.08753E-06,-1.087527263,,,,,,,
1/29/2019 20:12,8:12:29 PM,43494.84,6:00:00 AM,0.25,2:12:29 PM,10267,810,15.18,22.89,77105,53.97,0.649493175,1.57397E-05,0.69270273,0.00730273,0.000165933,5.29678E-06,5.296777739,,,,,,,
