Date,Time,,-6,,Time_corr,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
1/30/2019,19:39:02,0.82,6:00:00,0.25,13:39:02,721,0,2.21,24.01,77130,51.93,-0.839388826,-1.12603E-05,-0.50,,,,,,,,,,,
1/30/2019,19:39:02,0.82,6:00:00,0.25,13:39:02,1225,522,4,24.01,77130,51.91,-0.63390387,6.13967E-06,0.27,,,,,,,,,,,
1/30/2019,19:39:03,0.82,6:00:00,0.25,13:39:03,1724,750,5.95,24.02,77127,51.88,-0.410051543,1.37397E-05,0.60,,,,,,,,,,,
1/30/2019,19:39:03,0.82,6:00:00,0.25,13:39:03,2226,770,7.15,24.02,77133,51.85,-0.272296266,1.44063E-05,0.63,,,,,,,,,,,
1/30/2019,19:39:04,0.82,6:00:00,0.25,13:39:04,2727,788,8.77,24.01,77130,51.82,-0.086326641,1.50063E-05,0.66,,,,,,,,,,,
1/30/2019,19:39:04,0.82,6:00:00,0.25,13:39:04,3229,812,9.92,24.02,77129,51.77,0.045688834,1.58063E-05,0.6956,0.0092,0.00021,0.00000010,0.097262208,0.00208747,0.088804899,0.00788631,431653.8681,0.106909253,0.005028624,0.024031281
1/30/2019,19:39:05,0.82,6:00:00,0.25,13:39:05,3731,793,10.96,24.02,77130,51.74,0.165076741,0.000015173,0.6678,-0.0186,-0.00042,-0.00000020,-0.196236251,0.02725033,-0.219999089,0.048399599,,,,
1/30/2019,19:39:05,0.82,6:00:00,0.25,13:39:05,4233,811,11.91,24.02,77136,51.69,0.274133003,0.000015773,0.6942,0.0078,0.00018,0.00000008,0.081807362,0.075148903,0.044063511,0.001941593,,,,
1/30/2019,19:39:06,0.82,6:00:00,0.25,13:39:06,4734,810,12.54,24.01,77132,51.66,0.346454524,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066362551,0.120030737,0.019347081,0.00037431,,,,
1/30/2019,19:39:06,0.82,6:00:00,0.25,13:39:06,5236,797,13.02,24.02,77135,51.6,0.401556635,1.53063E-05,0.6736,-0.0128,-0.00029,-0.00000013,-0.134438652,0.161247731,-0.188518213,0.035539116,,,,
1/30/2019,19:39:07,0.82,6:00:00,0.25,13:39:07,5739,801,13.92,24.02,77132,51.57,0.504873093,1.54397E-05,0.6795,-0.0069,-0.00016,-0.00000007,-0.072656599,0.25489684,-0.13998133,0.019594773,,,,
1/30/2019,19:39:07,0.82,6:00:00,0.25,13:39:07,6244,810,14.01,24.02,77133,51.55,0.515204739,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066363924,0.265435923,-0.002285324,5.2227E-06,,,,
1/30/2019,19:39:08,0.82,6:00:00,0.25,13:39:08,6743,805,14.6,24.02,77130,51.52,0.582934417,0.000015573,0.6854,-0.0010,-0.00002,-0.00000001,-0.0108696,0.339812535,-0.088201792,0.007779556,,,,
1/30/2019,19:39:08,0.82,6:00:00,0.25,13:39:08,7244,810,15,24.02,77128,51.46,0.628852843,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066368226,0.395455898,-0.016850709,0.000283946,,,,
1/30/2019,19:39:09,0.82,6:00:00,0.25,13:39:09,7746,814,15.1,24.02,77134,51.43,0.640332449,0.000015873,0.6986,0.0122,0.00028,0.00000013,0.128148743,0.410025646,0.043458123,0.001888608,,,,
1/30/2019,19:39:09,0.82,6:00:00,0.25,13:39:09,8248,811,15.3,24.02,77129,51.36,0.663291662,0.000015773,0.6942,0.0078,0.00018,0.00000008,0.081814787,0.439955829,-0.005819204,3.38631E-05,,,,
1/30/2019,19:39:10,0.82,6:00:00,0.25,13:39:10,8750,802,15.59,24.01,77126,51.33,0.696582521,0.000015473,0.6810,-0.0054,-0.00012,-0.00000006,-0.057212304,0.485227209,-0.149114184,0.02223504,,,,
1/30/2019,19:39:10,0.82,6:00:00,0.25,13:39:10,9251,799,15.9,24.02,77131,51.29,0.732169301,0.000015373,0.6766,-0.0098,-0.00022,-0.00000010,-0.103551583,0.536071886,-0.200015687,0.040006275,,,,
1/30/2019,19:39:11,0.82,6:00:00,0.25,13:39:11,9753,808,15.94,24.01,77133,51.26,0.736761144,0.000015673,0.6898,0.0034,0.00008,0.00000004,0.03546949,0.542816983,-0.061583289,0.003792501,,,,
1/30/2019,19:39:11,0.82,6:00:00,0.25,13:39:11,10255,807,15.97,24.02,77133,51.19,0.740205026,1.56397E-05,0.6883,0.0019,0.00004,0.00000002,0.020024063,0.54790348,-0.077470221,0.006001635,,,,
1/30/2019,19:39:12,0.82,6:00:00,0.25,13:39:12,10757,812,16.04,24.01,77129,51.15,0.74824075,1.58063E-05,0.6956,0.0092,0.00021,0.00000010,0.097258935,0.55986422,-0.001265529,1.60156E-06,,,,
1/30/2019,19:39:12,0.82,6:00:00,0.25,13:39:12,11258,809,16.08,24.01,77128,51.12,0.752832593,1.57063E-05,0.6912,0.0048,0.00011,0.00000005,0.050918891,0.566756913,-0.048194248,0.002322685,,,,
1/30/2019,19:39:13,0.82,6:00:00,0.25,13:39:13,11760,802,16.14,24.01,77123,51.08,0.759720357,0.000015473,0.6810,-0.0054,-0.00012,-0.00000006,-0.05721453,0.577175021,-0.15721068,0.024715198,,,,
1/30/2019,19:39:13,0.82,6:00:00,0.25,13:39:13,12262,805,16.1,24.02,77128,51.05,0.755128514,0.000015573,0.6854,-0.0010,-0.00002,-0.00000001,-0.010869882,0.570219073,-0.110277357,0.012161095,,,,
1/30/2019,19:39:14,0.82,6:00:00,0.25,13:39:14,12764,815,16.04,24.01,77123,51.01,0.74824075,1.59063E-05,0.7000,0.0136,0.00031,0.00000014,0.143610811,0.55986422,0.045086347,0.002032779,,,,
1/30/2019,19:39:14,0.82,6:00:00,0.25,13:39:14,13265,807,15.99,24.01,77126,50.98,0.742500947,1.56397E-05,0.6883,0.0019,0.00004,0.00000002,0.020025207,0.551307656,-0.077763415,0.006047149,,,,
1/30/2019,19:39:15,0.82,6:00:00,0.25,13:39:15,13767,807,15.91,24.01,77125,50.95,0.733317262,1.56397E-05,0.6883,0.0019,0.00004,0.00000002,0.020025466,0.537754207,-0.076585806,0.005865386,,,,
1/30/2019,19:39:15,0.82,6:00:00,0.25,13:39:15,14269,814,15.72,24,77125,50.95,0.71150601,0.000015873,0.6986,0.0122,0.00028,0.00000013,0.128155071,0.506240802,0.034340001,0.001179236,,,,
1/30/2019,19:39:16,0.82,6:00:00,0.25,13:39:16,14771,809,15.46,24.01,77127,50.92,0.681659033,1.57063E-05,0.6912,0.0048,0.00011,0.00000005,0.050919551,0.464659037,-0.039069137,0.001526397,,,,
1/30/2019,19:39:16,0.82,6:00:00,0.25,13:39:16,15272,810,15.16,24.01,77131,50.88,0.647220213,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066363411,0.418894004,-0.01921022,0.000369033,,,,
1/30/2019,19:39:17,0.82,6:00:00,0.25,13:39:17,15777,808,15.04,24.01,77127,50.88,0.633444686,0.000015673,0.6898,0.0034,0.00008,0.00000004,0.035472249,0.40125217,-0.04833536,0.002336307,,,,
1/30/2019,19:39:17,0.82,6:00:00,0.25,13:39:17,16276,809,15.01,24.01,77124,50.85,0.630000804,1.57063E-05,0.6912,0.0048,0.00011,0.00000005,0.050921532,0.396901013,-0.032444571,0.00105265,,,,
1/30/2019,19:39:18,0.82,6:00:00,0.25,13:39:18,16778,810,14.78,24,77124,50.85,0.603597709,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066367201,0.364330194,-0.013614025,0.000185342,,,,
1/30/2019,19:39:18,0.82,6:00:00,0.25,13:39:18,17280,800,14.41,24.01,77128,50.81,0.561123165,1.54063E-05,0.6780,-0.0084,-0.00019,-0.00000009,-0.088105024,0.314859206,-0.162641014,0.026452099,,,,
1/30/2019,19:39:19,0.82,6:00:00,0.25,13:39:19,17781,807,14.03,24.01,77126,50.78,0.51750066,1.56397E-05,0.6883,0.0019,0.00004,0.00000002,0.020025207,0.267806933,-0.048918378,0.002393008,,,,
1/30/2019,19:39:19,0.82,6:00:00,0.25,13:39:19,18284,815,14,24.01,77118,50.74,0.514056778,1.59063E-05,0.7000,0.0136,0.00031,0.00000014,0.143620122,0.264254371,0.075118043,0.00564272,,,,
1/30/2019,19:39:20,0.82,6:00:00,0.25,13:39:20,18786,815,13.91,24.01,77119,50.74,0.503725132,1.59063E-05,0.7000,0.0136,0.00031,0.00000014,0.14361826,0.253739009,0.076440698,0.00584318,,,,
1/30/2019,19:39:20,0.82,6:00:00,0.25,13:39:20,19288,801,13.7,24,77123,50.71,0.479617959,1.54397E-05,0.6795,-0.0069,-0.00016,-0.00000007,-0.072660188,0.230033386,-0.13674721,0.018699799,,,,
1/30/2019,19:39:21,0.82,6:00:00,0.25,13:39:21,19789,806,13.32,24.01,77120,50.67,0.435995454,1.56063E-05,0.6868,0.0004,0.00001,0.00000000,0.004578061,0.190092036,-0.053916556,0.002906995,,,,
1/30/2019,19:39:21,0.82,6:00:00,0.25,13:39:21,20291,813,13.22,24.01,77120,50.67,0.424515848,1.58397E-05,0.6971,0.0107,0.00024,0.00000011,0.112718989,0.180213705,0.055696058,0.003102051,,,,
1/30/2019,19:39:22,0.82,6:00:00,0.25,13:39:22,20793,808,13.06,24,77119,50.64,0.406148477,0.000015673,0.6898,0.0034,0.00008,0.00000004,0.035474735,0.164956586,-0.0191935,0.00036839,,,,
1/30/2019,19:39:22,0.82,6:00:00,0.25,13:39:22,21295,807,13.03,24,77122,50.6,0.402704595,1.56397E-05,0.6883,0.0019,0.00004,0.00000002,0.020025572,0.162170991,-0.034201158,0.001169719,,,,
1/30/2019,19:39:23,0.82,6:00:00,0.25,13:39:23,21796,810,13.02,24,77122,50.6,0.401556635,1.57397E-05,0.6927,0.0063,0.00014,0.00000007,0.066368922,0.161247731,0.012289362,0.000151028,,,,
