Date,Time,,,Time_corr,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb,
1/31/2019,20:00:51,0.8339,0.25,14:00:51,738,0,4.23,26.67,77178,45.55,-0.610325552,-1.12603E-05,-0.4956,,,,,,,,,,,,
1/31/2019,20:00:52,0.8339,0.25,14:00:52,1235,526,5.2,26.69,77182,45.51,-0.498459828,0.000006273,0.2761,,,,,,,,,,,,
1/31/2019,20:00:52,0.8339,0.25,14:00:52,1737,734,6,26.69,77186,45.48,-0.406199437,1.32063E-05,0.5812,,,,,,,,,,,,
1/31/2019,20:00:53,0.8339,0.25,14:00:53,2239,772,6.93,26.69,77193,45.45,-0.298946732,0.000014473,0.6370,,,,,,,,,,,,
1/31/2019,20:00:53,0.8339,0.25,14:00:53,2741,775,7.16,26.69,77196,45.41,-0.27242187,0.000014573,0.6414,,,,,,,,,,,,
1/31/2019,20:00:54,0.8340,0.25,14:00:54,3243,787,7.79,26.69,77189,45.31,-0.199766812,0.000014973,0.6590,,,,,,,,,,,,
1/31/2019,20:00:54,0.8340,0.25,14:00:54,3744,790,8.06,26.69,77185,45.2,-0.16862893,0.000015073,0.6634,,,,,,,,,,,,
1/31/2019,20:00:55,0.8340,0.25,14:00:55,4246,782,8.44,26.67,77187,45.06,-0.124805244,1.48063E-05,0.6516,,,,,,,,,,,,
1/31/2019,20:00:55,0.8340,0.25,14:00:55,4748,783,8.89,26.67,77178,44.93,-0.072908774,1.48397E-05,0.6531,,,,,,,,,,,,
1/31/2019,20:00:56,0.8340,0.25,14:00:56,5252,793,9.02,26.69,77181,44.78,-0.057916461,0.000015173,0.6678,,,,,,,,,,,,
1/31/2019,20:00:56,0.8340,0.25,14:00:56,5754,780,9.15,26.69,77174,44.68,-0.042924147,1.47397E-05,0.6487,,,,,,,,,,,,
1/31/2019,20:00:57,0.8340,0.25,14:00:57,6253,783,9.34,26.69,77173,44.54,-0.021012304,1.48397E-05,0.6531,,,,,,,,,,,,
1/31/2019,20:00:57,0.8340,0.25,14:00:57,6755,782,9.73,26.67,77168,44.37,0.023854622,1.48063E-05,0.6516,-0.0341,-0.000774217,-2.5009E-05,-25.00897092,0.000569043,-25.11999037,631.0139159,5735681.647,10.75009526,0.137107312,0.13054991,
1/31/2019,20:00:58,0.8340,0.25,14:00:58,7257,793,9.86,26.69,77162,44.22,0.038778111,0.000015173,0.6678,-0.0179,-0.00040755,-1.31667E-05,-13.1666981,0.001503742,-13.34560749,178.1052392,,,,,
1/31/2019,20:00:58,0.8340,0.25,14:00:58,7758,788,9.96,26.67,77167,44.13,0.050257717,1.50063E-05,0.6604,-0.0253,-0.000574217,-1.85488E-05,-18.54875234,0.002525838,-18.77988475,352.6840711,,,,,
1/31/2019,20:00:59,0.8340,0.25,14:00:59,8260,792,9.98,26.69,77165,44.06,0.052553638,1.51397E-05,0.6663,-0.0194,-0.000440883,-1.4243E-05,-14.24304306,0.002761885,-14.48462007,209.8042187,,,,,
1/31/2019,20:01:00,0.8340,0.25,14:01:00,8762,775,10.01,26.67,77159,43.95,0.05599752,0.000014573,0.6414,-0.0443,-0.00100755,-3.255E-05,-32.54996928,0.003135722,-32.8072132,1076.313238,,,,,
1/31/2019,20:01:00,0.8340,0.25,14:01:00,9264,779,10.07,26.69,77161,43.88,0.062885284,1.47063E-05,0.6472,-0.0385,-0.000874217,-2.82436E-05,-28.24364615,0.003954559,-28.53222388,814.0877998,,,,,
1/31/2019,20:01:01,0.8340,0.25,14:01:01,9765,789,10.1,26.69,77161,43.77,0.066329166,1.50397E-05,0.6619,-0.0238,-0.000540883,-1.74745E-05,-17.47451943,0.004399558,-17.77876407,316.084452,,,,,
1/31/2019,20:01:01,0.8340,0.25,14:01:01,10267,783,10.19,26.69,77159,43.67,0.076660812,1.48397E-05,0.6531,-0.0326,-0.000740883,-2.39366E-05,-23.93661589,0.00587688,-24.28786126,589.9002046,,,,,
1/31/2019,20:01:02,0.8341,0.25,14:01:02,10772,778,10.19,26.67,77156,43.6,0.076660812,0.000014673,0.6458,-0.0399,-0.00090755,-2.93205E-05,-29.32050303,0.00587688,-29.6717484,880.4126529,,,,,
1/31/2019,20:01:02,0.8341,0.25,14:01:02,11271,784,8.62,26.69,77157,43.53,-0.104046656,0.000014873,0.6546,,,,,,,,,,,,
1/31/2019,20:01:03,0.8341,0.25,14:01:03,11772,799,9.17,26.69,77124,43.46,-0.040617637,0.000015373,0.6766,,,,,,,,,,,,
1/31/2019,20:01:03,0.8341,0.25,14:01:03,12274,782,10.18,26.69,77133,43.39,0.075512851,1.48063E-05,0.6516,-0.0341,-0.000774217,-2.5022E-05,-25.02198805,0.005702191,-25.36801112,643.535988,,,,,
1/31/2019,20:01:04,0.8341,0.25,14:01:04,12777,788,10.18,26.67,77141,43.32,0.075512851,1.50063E-05,0.6604,-0.0253,-0.000574217,-1.8555E-05,-18.55500411,0.005702191,-18.90102717,357.2488281,,,,,
1/31/2019,20:01:04,0.8341,0.25,14:01:04,13279,781,10.11,26.69,77139,43.29,0.067477127,0.000014773,0.6502,-0.0355,-0.00080755,-2.60973E-05,-26.09726161,0.004553163,-26.40672855,697.3153129,,,,,
1/31/2019,20:01:05,0.8341,0.25,14:01:05,13780,790,10.57,26.67,77118,43.26,0.120283317,0.000015073,0.6634,-0.0223,-0.00050755,-1.64057E-05,-16.40565549,0.014468076,-16.95534835,287.4838377,,,,,
1/31/2019,20:01:05,0.8341,0.25,14:01:05,14282,790,10.73,26.67,77107,43.22,0.138650687,0.000015073,0.6634,-0.0223,-0.00050755,-1.6408E-05,-16.4079959,0.019224013,-17.0412456,290.4040517,,,,,
1/31/2019,20:01:06,0.8341,0.25,14:01:06,14784,782,10.75,26.67,77095,43.15,0.140946608,1.48063E-05,0.6516,-0.0341,-0.000774217,-2.50327E-05,-25.0326515,0.019865946,-25.67634582,659.2747344,,,,,
1/31/2019,20:01:06,0.8341,0.25,14:01:06,15286,800,10.72,26.67,77082,43.11,0.137502726,1.54063E-05,0.6780,-0.0077,-0.000174217,-5.63387E-06,-5.633872756,0.018907,-6.261900159,39.2113936,,,,,
1/31/2019,20:01:07,0.8341,0.25,14:01:07,15791,783,10.72,26.67,77068,43.08,0.137502726,1.48397E-05,0.6531,-0.0326,-0.000740883,-2.39633E-05,-23.96328115,0.018907,-24.59130855,604.7324564,,,,,
1/31/2019,20:01:07,0.8341,0.25,14:01:07,16289,776,10.77,26.67,77044,43.04,0.14324253,1.46063E-05,0.6428,-0.0429,-0.000974217,-3.15201E-05,-31.52007896,0.020518422,-32.17421788,1035.180296,,,,,
1/31/2019,20:01:08,0.8341,0.25,14:01:08,16791,799,10.77,26.67,77046,43.01,0.14324253,0.000015373,0.6766,-0.0091,-0.00020755,-6.71495E-06,-6.714953349,0.020518422,-7.369092265,54.30352081,,,,,
1/31/2019,20:01:08,0.8341,0.25,14:01:08,17293,797,10.8,26.67,77035,42.97,0.146686412,1.53063E-05,0.6736,-0.0121,-0.000274217,-8.87312E-06,-8.873116476,0.021516903,-9.5429223,91.06736602,,,,,
