Time,SO2,H2S,H2,CO2serial,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,H2O calc
09/02/2018 17:35,0.08831024,0.1509829,11.14864,475.5208,4.062832,29.67645,25.58429,781.6,13.84699,-89.62705,13.05112,12500.37969
09/02/2018 17:35,0.09284592,0.1458387,10.97633,479.4406,5.008141,29.66292,25.58558,781.6,13.84699,-89.62705,13.12951,12495.63732
09/02/2018 17:35,0.09200668,0.1493263,10.88224,472.807,5.982246,29.64408,25.58631,781.6,13.84699,-89.62705,13.12951,12488.242
09/02/2018 17:35,0.09117508,0.1532822,10.72303,472.5055,6.92765,29.61215,25.5873,781.7,NaN,NaN,13.12951,12475.52385
09/02/2018 17:35,0.09228516,0.1545773,10.49817,473.7116,7.891086,29.57804,25.58813,781.6,13.84699,-89.62705,13.12951,12461.76732
09/02/2018 17:35,0.08962631,0.1649246,10.4652,475.5208,8.794139,29.55537,25.58877,781.6,13.84699,-89.62705,13.12951,12452.68907
09/02/2018 17:35,0.09509659,0.1489039,10.34119,469.1887,9.741351,29.53874,25.58875,781.6,13.84699,-89.62705,13.12951,12445.66751
09/02/2018 17:35,0.08570862,0.1444168,10.22569,470.0933,10.55757,29.51977,25.58961,781.6,13.84699,-89.62705,13.12951,12438.30972
09/02/2018 17:35,0.08845902,0.1452246,10.07952,471.6009,11.31996,29.51872,25.59089,781.6,NaN,NaN,13.12951,12438.8123
09/02/2018 17:35,0.08444977,0.1535063,10.05332,472.5055,12.06584,29.51258,25.59135,781.6,13.84699,-89.62705,13.05112,12436.56454
09/02/2018 17:35,0.08660507,0.152133,10.07275,473.4101,12.6651,29.52108,25.59153,781.6,13.84699,-89.62705,13.05112,12440.27933
09/02/2018 17:35,0.0880394,0.1518097,9.984181,467.9826,13.28035,29.52339,25.59227,781.6,13.84699,-89.62705,13.05112,12441.79924
09/02/2018 17:35,0.08433151,0.1564016,9.903095,473.4101,13.83574,29.536,25.59347,781.6,13.84699,-89.62705,13.05112,12447.99994
09/02/2018 17:35,0.0865593,0.1532288,9.744739,472.807,14.35346,29.56271,25.59439,781.6,NaN,NaN,13.05112,12459.93728
09/02/2018 17:35,0.08462525,0.1499968,9.55521,475.5208,14.79891,29.59403,25.595,781.6,13.84699,-89.62705,13.05112,12473.58948
09/02/2018 17:35,0.08701706,0.1630335,9.647625,478.2345,15.26597,29.64045,25.59509,781.6,13.84699,-89.62705,13.05112,12493.22178
09/02/2018 17:35,0.08815002,0.1562929,9.333194,477.933,15.64573,29.69102,25.59577,781.6,13.84699,-89.62705,13.05112,12515.04175
09/02/2018 17:35,0.08756638,0.154912,9.340134,477.33,16.03124,29.74228,25.59673,781.6,13.84699,-89.62705,13.12951,12537.36266
09/02/2018 17:35,0.0882988,0.1655655,9.203892,480.6467,16.3285,29.78072,25.5977,781.6,NaN,NaN,13.12951,12554.28915
09/02/2018 17:35,0.08284378,0.1550551,9.337372,481.5513,16.56184,29.80111,25.59827,781.6,13.84699,-89.62705,13.12951,12563.30972
09/02/2018 17:35,0.08363342,0.1545286,9.250122,483.9635,16.84612,29.80917,25.59857,781.6,13.84699,-89.62705,13.12951,12566.93135
09/02/2018 17:35,0.08570099,0.1443892,8.910664,480.6467,17.1275,29.80114,25.59956,781.6,13.84699,-89.62705,13.12951,12564.2843
09/02/2018 17:36,0.08251953,0.1421738,8.799434,478.2345,17.27915,29.79456,25.60094,781.6,13.84699,-89.62705,13.12951,12562.53903
09/02/2018 17:36,0.08555985,0.1436462,8.796994,480.0437,17.13708,29.76593,25.60082,781.6,NaN,NaN,13.12951,12550.37813
09/02/2018 17:36,0.08589935,0.156436,8.871956,482.4559,17.45,29.74516,25.60098,781.6,13.84699,-89.62705,13.12951,12541.73985
09/02/2018 17:36,0.0854721,0.1494904,8.925957,477.0284,17.75765,29.71862,25.60271,781.6,13.84699,-89.62705,13.05112,12531.83618
09/02/2018 17:36,0.08492279,0.1592598,9.055569,472.807,18.01337,29.69303,25.60359,781.6,13.84699,-89.62705,13.05112,12521.69928
09/02/2018 17:36,0.08161163,0.1649618,8.901699,472.5055,18.16605,29.65023,25.60303,781.6,13.84699,-89.62705,13.05112,12503.23474
09/02/2018 17:36,0.0864067,0.174161,8.745278,472.807,18.31665,29.6042,25.60406,781.6,NaN,NaN,13.05112,12484.58747
09/02/2018 17:36,0.08534241,0.1626263,8.832405,472.5055,18.46951,29.56624,25.60457,781.6,13.84699,-89.62705,13.05112,12468.9565
09/02/2018 17:36,0.08745575,0.156394,8.984856,475.2192,18.60876,29.53728,25.6059,781.6,13.84699,-89.62705,13.05112,12457.72651
09/02/2018 17:36,0.08461762,0.1693659,8.932346,473.1086,18.65213,29.49497,25.60618,781.6,13.84699,-89.62705,13.05112,12440.08845
09/02/2018 17:36,0.08139419,0.1561842,8.70367,468.5857,18.64203,29.45697,25.60721,781.6,13.84699,-89.62705,13.05112,12424.82068
09/02/2018 17:36,0.08649826,0.1516867,8.707138,470.6964,18.57041,29.41599,25.6077,781.6,NaN,NaN,13.12951,12407.89632
09/02/2018 17:36,0.08285141,0.1474514,8.586399,470.0933,18.59112,29.39467,25.60844,781.6,13.84699,-89.62705,13.12951,12399.44791
09/02/2018 17:36,0.08496857,0.1440001,8.813236,470.0933,18.53511,29.37303,25.60935,781.6,13.84699,-89.62705,13.12951,12390.98875
09/02/2018 17:36,0.08774948,0.1505384,8.846844,467.6811,18.53433,29.3569,25.60918,781.6,13.84699,-89.62705,13.12951,12384.05938
09/02/2018 17:36,0.08427048,0.1665192,9.050206,469.1887,18.60862,29.33609,25.61068,781.6,13.84699,-89.62705,13.12951,12376.38249
09/02/2018 17:36,0.08883667,0.1500692,8.998943,464.0628,18.49473,29.31687,25.61121,781.6,NaN,NaN,13.12951,12368.66294
09/02/2018 17:36,0.08621598,0.1490021,8.990818,464.0628,18.55621,29.28892,25.61228,781.5,13.84699,-89.62705,13.12951,12357.65564
09/02/2018 17:36,0.0874939,0.1529274,9.306713,464.6658,18.42365,29.26326,25.61215,781.5,13.84699,-89.62705,13.12951,12346.73385
09/02/2018 17:36,0.08828354,0.1610861,9.462459,469.4902,18.49248,29.23729,25.61272,781.5,13.84699,-89.62705,13.05112,12336.19389
09/02/2018 17:36,0.08446884,0.1613913,9.206928,471.6009,18.40062,29.20891,25.61298,781.5,13.84699,-89.62705,13.05112,12324.40958
09/02/2018 17:36,0.08958817,0.1602497,9.063362,471.2994,18.392,29.17746,25.61455,781.5,NaN,NaN,13.05112,12312.28666
09/02/2018 17:36,0.08346558,0.1461058,8.810215,467.9826,18.51037,29.16048,25.61504,781.5,13.84699,-89.62705,13.05112,12305.47928
09/02/2018 17:36,0.08495712,0.1418161,8.52264,470.0933,18.51134,29.13976,25.61558,781.5,13.84699,-89.62705,13.05112,12297.12968
09/02/2018 17:36,0.08491134,0.1474218,8.339814,469.7918,18.58813,29.13032,25.61568,781.5,13.84699,-89.62705,13.05112,12293.2189
09/02/2018 17:36,0.08543396,0.1428471,8.056126,469.4902,18.52918,29.11609,25.61697,781.5,13.84699,-89.62705,13.05112,12288.1544
